auction_id,model,variant_clean,is_highland,tax_type,is_accident_free,tire_strategy,has_hitch,autopilot,has_heatpump,mileage,age_at_auction_months,first_registration,end_time,final_price,status,number_of_bids,trust_tier
a4bef24f-c673-45f1-ade7-99d71b3a3cc5,Model 3,m3_p,False,margin,False,8_tires,False,Standard,True,91000,38,2022-11-11,2026-02-06 10:00:00,,preparation,0,Tier 3
313e3a44-0d31-479b-b1ea-ef9f08b27a3e,Model 3,m3_p,False,vat,True,4_summer,False,EAP,True,33394,34,2023-04-04,2026-02-02 10:00:00,,preparation,0,Tier 3
3885cd1a-d69c-455c-9423-1882695a6278,Model 3,m3_p,False,margin,False,8_tires,False,EAP,True,67000,52,2021-09-09,2026-02-02 10:00:00,,preparation,0,Tier 3
db41b041-336b-4b18-bf24-d98f73c73e07,Model Y,my_p,False,vat,True,4_summer,False,Standard,True,53500,37,2022-12-16,2026-02-06 10:00:00,,active,0,Tier 3
62b687f1-188c-4693-936f-1ca899545de3,Model 3,m3_sr,False,margin,False,8_tires,True,Standard,True,45200,38,2022-12-07,2026-02-06 10:00:00,,preparation,0,Tier 3
81d19ccb-2a6c-46c8-abb9-aa8342b6d43a,Model 3,m3_lr,False,vat,False,4_summer,False,Standard,True,64000,56,2021-05-20,2026-02-06 10:00:00,,preparation,0,Tier 3
287e1685-e576-43e1-95e9-330f1521ca9c,Model 3,m3_sr,False,margin,True,4_all_season,True,Standard,True,60000,41,2022-09-06,2026-02-05 10:00:00,,active,0,Tier 3
78e71aad-0d06-4d1f-a258-54ce48eb1929,Model Y,my_lr,False,vat,False,8_tires,True,Standard,True,79383,52,2021-09-16,2026-02-05 10:00:00,20900.0,active,1,Tier 3
d6432f8e-24ca-4704-8c04-2e212b94c8bb,Model 3,m3_sr,False,margin,True,8_tires,False,EAP,True,59500,40,2022-09-08,2026-02-05 10:00:00,,active,0,Tier 3
c92f4914-437a-468d-8f45-40b327fb748a,Model Y,my_sr,False,margin,True,4_all_season,True,Standard,True,31000,32,2023-06-07,2026-02-05 10:00:00,,active,0,Tier 3
2f390e7d-2fe9-4731-b851-b5e1bfda3357,Model Y,my_sr,False,margin,False,4_summer,False,Standard,True,59000,28,2023-10-01,2026-02-05 10:00:00,,preparation,0,Tier 3
24362673-5b21-4574-bd82-c8faf85eddb9,Model 3,m3_p,True,margin,True,4_summer,False,Standard,True,24000,19,2024-06-28,2026-02-05 10:00:00,44700.0,active,2,Tier 3
56000572-0f55-4a2a-b566-e900976624e6,Model 3,m3_lr,True,margin,False,8_tires,False,Standard,True,45000,27,2023-10-27,2026-02-06 10:00:00,35100.0,active,1,Tier 3
5d262536-3984-4a52-b854-d022941616cf,Model 3,m3_lr,False,margin,True,8_tires,False,Standard,True,21173,36,2023-02-02,2026-02-05 10:00:00,,active,0,Tier 3
a0002476-25a4-476d-a10c-33f5cb98ff82,Model 3,m3_lr,False,vat,False,8_tires,True,Standard,True,89600,40,2022-09-26,2026-02-05 10:00:00,17700.0,active,1,Tier 3
59f80539-73e9-4ee1-8df6-179f84a2bcda,Model 3,m3_p,False,margin,True,8_tires,False,Standard,True,68848,52,2021-09-28,2026-02-04 10:00:00,22700.0,closed_seller_declined,1,Tier 3
1cedfb61-722f-427a-b925-16a1b38c6078,Model Y,my_lr,False,margin,True,8_tires,True,Standard,True,72500,36,2023-02-02,2026-02-04 10:00:00,30500.0,pending_seller,6,Tier 3
84265b86-5bf2-4e07-a5b5-f175c36d09d3,Model Y,my_lr,False,margin,True,4_summer,True,Standard,True,30895,28,2023-09-29,2026-02-04 10:00:00,33200.0,pending_seller,5,Tier 3
40b6c29b-76e5-4a37-a09f-cb7ce98de078,Model Y,my_lr,False,vat,True,4_winter,True,Standard,True,53950,41,2022-08-29,2026-02-05 10:00:00,,active,0,Tier 3
2444006a-5ee3-4be4-8940-e02a121df53b,Model 3,m3_p,False,margin,True,8_tires,False,Standard,True,68848,51,2021-09-28,2026-01-15 10:00:00,,cancelled,0,Tier 3
492a7d54-cc5e-481f-b0b4-af8de79dc8b9,Model Y,my_sr,False,margin,True,8_tires,True,Standard,True,38000,28,2023-10-02,2026-02-04 10:00:00,29200.0,pending_seller,6,Tier 3
9ba11334-9ee3-4e40-8d70-644825c3b0b5,Model Y,my_lr,False,margin,True,8_tires,True,Standard,True,72500,34,2023-02-02,2025-12-05 10:00:00,,cancelled,0,Tier 3
e8318903-9bcb-4b70-9e48-08911bd6ddcc,Model Y,my_lr,False,vat,False,4_winter,False,Standard,True,63000,31,2023-06-06,2026-02-03 09:00:00,22600.0,closed_seller_declined,1,Tier 3
b0e4ae9f-b7a6-4416-8577-3181b1dfa3d7,Model Y,my_lr,False,vat,False,4_winter,False,Standard,True,63000,32,2023-06-06,2026-02-04 10:00:00,,cancelled,0,Tier 3
80c14ba8-8fb1-4274-8609-8efda02fbf1a,Model Y,my_lr,False,vat,False,4_winter,False,Standard,True,63000,32,2023-06-06,2026-02-04 10:00:00,,cancelled,0,Tier 3
ad455a72-eb94-4c68-a94a-e3a5da703978,Model Y,my_lr,False,vat,False,4_winter,False,Standard,True,63000,32,2023-06-06,2026-02-04 10:00:00,,cancelled,0,Tier 3
14e331cd-0f3b-4acc-b33e-32e118f35922,Model Y,my_lr,False,vat,False,4_winter,False,Standard,True,63000,31,2023-06-06,2026-02-03 10:00:00,,cancelled,0,Tier 3
